pos,neg,neu,compound
0.081,0.103,0.815,-0.204
0.0,0.341,0.659,-0.9743
0.127,0.208,0.665,-0.8104
0.0,0.213,0.787,-0.4215
0.04,0.179,0.781,-0.8073
0.0,0.0,1.0,0.0
0.0,0.259,0.741,-0.4215
0.108,0.158,0.733,-0.6124
0.082,0.0,0.918,0.34
0.0,0.156,0.844,-0.6204
0.034,0.032,0.935,0.0201
0.036,0.212,0.752,-0.5574
0.408,0.25,0.342,0.9062
0.0,0.0,1.0,0.0
0.093,0.239,0.668,-0.5624
0.0,0.467,0.533,-0.7906
0.22,0.293,0.488,-0.2263
0.315,0.0,0.685,0.3182
0.0,0.149,0.851,-0.5216
0.016,0.904,0.08,-0.9968
0.104,0.09,0.806,-0.5106
0.207,0.214,0.58,-0.0516
0.228,0.309,0.462,-0.5859
0.229,0.268,0.503,-0.4497
0.15,0.145,0.705,0.0772
0.0,0.222,0.778,-0.5719
0.205,0.262,0.532,-0.3612
0.027,0.169,0.804,-0.7845
0.179,0.174,0.647,-0.2263
0.166,0.0,0.834,0.3809
0.0,0.316,0.684,-0.8074
0.0,0.686,0.314,-0.8979
0.3,0.271,0.429,0.1027
0.081,0.243,0.676,-0.92
0.059,0.209,0.732,-0.6258
0.138,0.0,0.862,0.6275
0.151,0.0,0.849,0.4404
0.0,0.068,0.932,-0.2263
0.0,0.0,1.0,0.0
0.0,0.087,0.913,-0.5859
0.0,0.0,1.0,0.0
0.043,0.126,0.831,-0.5423
0.0,0.381,0.619,-0.5719
0.172,0.135,0.693,-0.007
0.119,0.155,0.726,-0.4742
0.246,0.077,0.677,0.8055
0.085,0.0,0.915,0.6249
0.396,0.0,0.604,0.7096
0.0,0.175,0.825,-0.802
0.0,0.098,0.902,-0.3612
0.0,0.365,0.635,-0.8847
0.242,0.224,0.534,0.128
0.0,0.61,0.39,-0.6908
0.0,0.379,0.621,-0.6453
0.057,0.106,0.837,-0.4588
0.0,0.0,1.0,0.0
0.0,0.063,0.937,-0.4019
0.052,0.145,0.803,-0.6463
0.103,0.185,0.712,-0.5106
0.0,0.0,1.0,0.0
0.203,0.076,0.722,0.4019
0.175,0.18,0.644,-0.2787
0.0,0.615,0.385,-0.7506
0.0,0.039,0.961,-0.2263
0.139,0.194,0.667,-0.25
0.048,0.179,0.773,-0.6652
0.089,0.192,0.719,-0.6124
0.237,0.11,0.653,0.4767
0.208,0.146,0.646,0.25
0.113,0.059,0.828,0.3612
0.214,0.123,0.663,0.4888
0.156,0.441,0.403,-0.7945
0.0,0.0,1.0,0.0
0.0,0.404,0.596,-0.9453
0.048,0.115,0.837,-0.4588
0.19,0.0,0.81,0.6597
0.222,0.054,0.724,0.7351
0.07,0.119,0.811,-0.2263
0.088,0.368,0.544,-0.8515
0.199,0.061,0.74,0.6486
0.22,0.178,0.602,0.25
0.147,0.05,0.804,0.496
